"","GEOID","household_income","employment_rate","birth_rate","NAME","Less_HS","HS_Equiv","Some_College","Bachelors","Graduate_Prof"
"1","37007920100",38551,48.5,3.19,"Census Tract 9201; Anson County; North Carolina",0.135874877810362,0.524926686217009,0.264907135874878,0.0645161290322581,0.00977517106549365
"2","37007920200",53269,57.9,3.19,"Census Tract 9202; Anson County; North Carolina",0.19460343417825,0.430089942763696,0.264104660670482,0.0809484873262469,0.0302534750613246
"3","37007920301",48876,51,3.19,"Census Tract 9203.01; Anson County; North Carolina",0.232242124768376,0.39005558987029,0.264051883878938,0.0870907967881408,0.0265596046942557
"4","37007920302",NA,73.1,3.19,"Census Tract 9203.02; Anson County; North Carolina",0.0244821092278719,0.630885122410546,0.274952919020716,0.0395480225988701,0.0301318267419962
"5","37007920400",29946,50.9,3.19,"Census Tract 9204; Anson County; North Carolina",0.0853115727002967,0.402818991097923,0.405786350148368,0.0816023738872404,0.0244807121661721
"6","37007920501",34476,60,3.19,"Census Tract 9205.01; Anson County; North Carolina",0.310606060606061,0.318181818181818,0.133333333333333,0.140909090909091,0.096969696969697
"7","37007920502",44085,49.9,3.19,"Census Tract 9205.02; Anson County; North Carolina",0.155072463768116,0.416666666666667,0.246376811594203,0.154710144927536,0.0271739130434783
"8","37007920600",47670,51.4,3.19,"Census Tract 9206; Anson County; North Carolina",0.195232223592273,0.41101520756268,0.278668310727497,0.0793259350595972,0.0357583230579531
"9","37007980000",NA,0,3.19,"Census Tract 9800; Anson County; North Carolina",0.168278529980658,0.535138620245003,0.281753707285622,0.014829142488717,0
"10","37025040501",84649,72.1,1.27,"Census Tract 405.01; Cabarrus County; North Carolina",0.0726157818299177,0.466354687752138,0.229304502178473,0.180087138938196,0.0516378893012748
"11","37025040502",66147,58.4,1.27,"Census Tract 405.02; Cabarrus County; North Carolina",0.0388423457730388,0.277227722772277,0.386900228484387,0.143183549124143,0.153846153846154
"12","37025040600",68871,55.5,1.27,"Census Tract 406; Cabarrus County; North Carolina",0.0441033138401559,0.413255360623782,0.32041910331384,0.131091617933723,0.091130604288499
"13","37025040701",47414,52.4,1.27,"Census Tract 407.01; Cabarrus County; North Carolina",0.136146496815287,0.381369426751592,0.342356687898089,0.111464968152866,0.0286624203821656
"14","37025040703",38803,52.1,1.27,"Census Tract 407.03; Cabarrus County; North Carolina",0.166666666666667,0.371517027863777,0.320433436532508,0.128998968008256,0.0123839009287926
"15","37025040704",56000,54.7,1.27,"Census Tract 407.04; Cabarrus County; North Carolina",0.0814545454545455,0.356727272727273,0.449454545454545,0.0901818181818182,0.0221818181818182
"16","37025040705",71344,52.7,1.27,"Census Tract 407.05; Cabarrus County; North Carolina",0.0505963136971449,0.372244307914709,0.37694253704373,0.125767979761475,0.0744488615829418
"17","37025040800",49273,57.6,1.27,"Census Tract 408; Cabarrus County; North Carolina",0.132831086439334,0.358445678033307,0.321173671689136,0.145122918318795,0.042426645519429
"18","37025040900",67292,63.2,1.27,"Census Tract 409; Cabarrus County; North Carolina",0.0864830237027546,0.329916720051249,0.377962844330557,0.150544522741832,0.0550928891736067
"19","37025041001",68718,66,1.27,"Census Tract 410.01; Cabarrus County; North Carolina",0.0759717314487632,0.441107184923439,0.334511189634865,0.118963486454653,0.0294464075382803
"20","37025041002",40053,59.4,1.27,"Census Tract 410.02; Cabarrus County; North Carolina",0.278169014084507,0.359154929577465,0.229376257545272,0.0784708249496982,0.0548289738430583
"21","37025041100",77271,70.3,1.27,"Census Tract 411; Cabarrus County; North Carolina",0.116140832190215,0.222222222222222,0.311156835848194,0.232510288065844,0.117969821673525
"22","37025041201",51701,66,1.27,"Census Tract 412.01; Cabarrus County; North Carolina",0.0831305758313058,0.361313868613139,0.330494728304947,0.122465531224655,0.102595296025953
"23","37025041202",93628,68.6,1.27,"Census Tract 412.02; Cabarrus County; North Carolina",0.0500208420175073,0.19237182159233,0.336807002917882,0.231137974155898,0.189662359316382
"24","37025041301",122845,62.6,1.27,"Census Tract 413.01; Cabarrus County; North Carolina",0.0485418265541059,0.150997697620875,0.271872601688411,0.351688411358404,0.176899462778204
"25","37025041304",126316,72.5,1.27,"Census Tract 413.04; Cabarrus County; North Carolina",0.0404624277456647,0.160817506193229,0.143063583815029,0.449834847233691,0.205821635012386
"26","37025041305",102040,63.3,1.27,"Census Tract 413.05; Cabarrus County; North Carolina",0.0308093994778068,0.146736292428198,0.30443864229765,0.209399477806789,0.308616187989556
"27","37025041306",114013,69.5,1.27,"Census Tract 413.06; Cabarrus County; North Carolina",0.0506367495451789,0.113098847786537,0.132504548211037,0.390539721043056,0.31322013341419
"28","37025041307",180180,73.9,1.27,"Census Tract 413.07; Cabarrus County; North Carolina",0.014601674898003,0.163839381576122,0.175434829289242,0.306420442344857,0.339703671891776
"29","37025041503",98293,69.2,1.27,"Census Tract 415.03; Cabarrus County; North Carolina",0.0219974715549937,0.233881163084703,0.290265486725664,0.334007585335019,0.119848293299621
"30","37025041504",133088,65,1.27,"Census Tract 415.04; Cabarrus County; North Carolina",0.00670194003527337,0.182716049382716,0.389417989417989,0.304409171075838,0.116754850088183
"31","37025041505",151453,69.3,1.27,"Census Tract 415.05; Cabarrus County; North Carolina",0.0132680138803838,0.139007960808328,0.209226372729128,0.42620943049602,0.21228822208614
"32","37025041506",131489,65,1.27,"Census Tract 415.06; Cabarrus County; North Carolina",0.0193877551020408,0.165561224489796,0.201785714285714,0.399744897959184,0.213520408163265
"33","37025041507",128944,67.1,1.27,"Census Tract 415.07; Cabarrus County; North Carolina",0.0925787106446777,0.203148425787106,0.275112443778111,0.25712143928036,0.172038980509745
"34","37025041602",62105,49.5,1.27,"Census Tract 416.02; Cabarrus County; North Carolina",0.115241635687732,0.278066914498141,0.343494423791822,0.202602230483271,0.0605947955390335
"35","37025041603",97083,66.1,1.27,"Census Tract 416.03; Cabarrus County; North Carolina",0.0228113440197287,0.264488286066584,0.356966707768187,0.227188655980271,0.128545006165228
"36","37025041604",119324,72.6,1.27,"Census Tract 416.04; Cabarrus County; North Carolina",0.0384097035040431,0.244946091644205,0.407008086253369,0.265498652291105,0.0441374663072776
"37","37025041701",75809,59.2,1.27,"Census Tract 417.01; Cabarrus County; North Carolina",0.101429069362147,0.298361798536075,0.353433252004183,0.164517253398397,0.0822586266991983
"38","37025041702",77390,62.4,1.27,"Census Tract 417.02; Cabarrus County; North Carolina",0.0928632846087704,0.349097162510748,0.333190025795357,0.0993121238177128,0.125537403267412
"39","37025041901",42306,67.5,1.27,"Census Tract 419.01; Cabarrus County; North Carolina",0.310892172961138,0.346469622331691,0.262725779967159,0.0509031198686371,0.0290093048713738
"40","37025041902",43906,64.4,1.27,"Census Tract 419.02; Cabarrus County; North Carolina",0.136624063464081,0.281621859850154,0.217276333186426,0.294843543411194,0.0696342000881446
"41","37025042000",62250,57.5,1.27,"Census Tract 420; Cabarrus County; North Carolina",0.165126155383462,0.422183362478141,0.254309268048963,0.0749437921558831,0.0834374219335498
"42","37025042101",46860,71.3,1.27,"Census Tract 421.01; Cabarrus County; North Carolina",0.3125,0.209274193548387,0.303225806451613,0.138709677419355,0.0362903225806452
"43","37025042102",55688,58.4,1.27,"Census Tract 421.02; Cabarrus County; North Carolina",0.155230596175478,0.193100862392201,0.351706036745407,0.242219722534683,0.057742782152231
"44","37025042201",64167,63.9,1.27,"Census Tract 422.01; Cabarrus County; North Carolina",0.0234146341463415,0.382926829268293,0.339512195121951,0.191219512195122,0.0629268292682927
"45","37025042202",95573,55.6,1.27,"Census Tract 422.02; Cabarrus County; North Carolina",0.155583437892095,0.184127979924718,0.194792973651192,0.288582183186951,0.176913425345044
"46","37025042300",57020,53.6,1.27,"Census Tract 423; Cabarrus County; North Carolina",0.140397350993377,0.31953642384106,0.292384105960265,0.181788079470199,0.0658940397350993
"47","37025042401",119359,63.6,1.27,"Census Tract 424.01; Cabarrus County; North Carolina",0.0333657272432783,0.280855199222546,0.382572076449627,0.173307418205377,0.129899578879171
"48","37025042402",37875,68.6,1.27,"Census Tract 424.02; Cabarrus County; North Carolina",0.171836228287841,0.303970223325062,0.326612903225806,0.160980148883375,0.0366004962779156
"49","37025042501",89440,66,1.27,"Census Tract 425.01; Cabarrus County; North Carolina",0.10435038212816,0.174897119341564,0.256613756613757,0.296590241034685,0.167548500881834
"50","37025042502",72813,62.3,1.27,"Census Tract 425.02; Cabarrus County; North Carolina",0.112365591397849,0.315591397849462,0.286021505376344,0.182258064516129,0.103763440860215
"51","37025042503",92982,62,1.27,"Census Tract 425.03; Cabarrus County; North Carolina",0.0731998092513114,0.232713400095374,0.300190748688603,0.228183118741059,0.165712923223653
"52","37025042504",140806,67.3,1.27,"Census Tract 425.04; Cabarrus County; North Carolina",0.0117967332123412,0.0943738656987296,0.365698729582577,0.341197822141561,0.186932849364791
"53","37025042601",118469,61.7,1.27,"Census Tract 426.01; Cabarrus County; North Carolina",0.0274332061068702,0.208730916030534,0.234017175572519,0.39050572519084,0.139312977099237
"54","37025042602",79014,74.3,1.27,"Census Tract 426.02; Cabarrus County; North Carolina",0.0415420405450316,0.26287803256896,0.359587902957793,0.261548687271519,0.0744433366566966
"55","37025042603",91092,69,1.27,"Census Tract 426.03; Cabarrus County; North Carolina",0.0468148148148148,0.197777777777778,0.310666666666667,0.330666666666667,0.114074074074074
"56","37025042604",86250,61.2,1.27,"Census Tract 426.04; Cabarrus County; North Carolina",0.0949482653682289,0.213329275715155,0.417224589166159,0.20815581253804,0.0663420572124163
"57","37071030103",47222,54.5,2,"Census Tract 301.03; Gaston County; North Carolina",0.0905218317358892,0.386581469648562,0.288604898828541,0.192758253461129,0.0415335463258786
"58","37071030104",104837,59.9,2,"Census Tract 301.04; Gaston County; North Carolina",0.053014553014553,0.127858627858628,0.247401247401247,0.358627858627859,0.213097713097713
"59","37071030105",71757,66.9,2,"Census Tract 301.05; Gaston County; North Carolina",0.0883022303140646,0.257624032771962,0.33363677742376,0.201638598088302,0.118798361401912
"60","37071030106",97589,67.4,2,"Census Tract 301.06; Gaston County; North Carolina",0.00711743772241993,0.252669039145907,0.366548042704626,0.295373665480427,0.0782918149466192
"61","37071030205",63729,60.4,2,"Census Tract 302.05; Gaston County; North Carolina",0.0813648293963255,0.366329208848894,0.424071991001125,0.103862017247844,0.0243719535058118
"62","37071030206",90144,61.3,2,"Census Tract 302.06; Gaston County; North Carolina",0.0490196078431373,0.183660130718954,0.301960784313725,0.352287581699346,0.113071895424837
"63","37071030207",58654,43.8,2,"Census Tract 302.07; Gaston County; North Carolina",0.17396449704142,0.384615384615385,0.222485207100592,0.176331360946746,0.042603550295858
"64","37071030208",94583,49.8,2,"Census Tract 302.08; Gaston County; North Carolina",0.175355450236967,0.281990521327014,0.210900473933649,0.281990521327014,0.0497630331753555
"65","37071030209",63889,64,2,"Census Tract 302.09; Gaston County; North Carolina",0.08506075768406,0.398856325947105,0.389563974267334,0.0972122944960686,0.0293066476054325
"66","37071030301",68362,63.3,2,"Census Tract 303.01; Gaston County; North Carolina",0.168533333333333,0.306666666666667,0.423466666666667,0.0762666666666667,0.0250666666666667
"67","37071030302",43807,50.2,2,"Census Tract 303.02; Gaston County; North Carolina",0.147425474254743,0.462330623306233,0.209214092140921,0.117073170731707,0.0639566395663957
"68","37071030401",68773,64.8,2,"Census Tract 304.01; Gaston County; North Carolina",0.134792261338408,0.334284808119251,0.373295274341897,0.10244211861719,0.055185537583254
"69","37071030403",61500,47.6,2,"Census Tract 304.03; Gaston County; North Carolina",0.283314669652856,0.259238521836506,0.338745800671892,0.083986562150056,0.0347144456886898
"70","37071030404",68594,54.3,2,"Census Tract 304.04; Gaston County; North Carolina",0.122055674518201,0.321734475374732,0.412740899357602,0.120985010706638,0.0224839400428266
"71","37071030501",64839,61.7,2,"Census Tract 305.01; Gaston County; North Carolina",0.105084745762712,0.387005649717514,0.343502824858757,0.126553672316384,0.0378531073446328
"72","37071030503",40441,37.8,2,"Census Tract 305.03; Gaston County; North Carolina",0.172846889952153,0.492822966507177,0.275717703349282,0.0472488038277512,0.0113636363636364
"73","37071030504",64375,62.2,2,"Census Tract 305.04; Gaston County; North Carolina",0.09072375127421,0.341488277268094,0.349643221202854,0.18756371049949,0.0305810397553517
"74","37071030601",55135,56.1,2,"Census Tract 306.01; Gaston County; North Carolina",0.102652825836217,0.434256055363322,0.264129181084198,0.164936562860438,0.0340253748558247
"75","37071030602",41944,57.3,2,"Census Tract 306.02; Gaston County; North Carolina",0.159555815312683,0.220923436586791,0.389246054938632,0.187609585037989,0.0426651081239042
"76","37071030700",67176,52,2,"Census Tract 307; Gaston County; North Carolina",0.0881310894596988,0.327723649247121,0.302480070859167,0.224977856510186,0.0566873339238264
"77","37071030801",58321,45.9,2,"Census Tract 308.01; Gaston County; North Carolina",0.128362797847809,0.225211375864719,0.448116833205227,0.160645657186779,0.037663335895465
"78","37071030802",34389,54.9,2,"Census Tract 308.02; Gaston County; North Carolina",0.239874164372788,0.337396775462053,0.310656704679512,0.0904443570585922,0.0216279984270547
