tract,Name,Employment_Rate_at_Age_35
6085504417,"Milpitas, CA",1
34021004502,"Princeton, NJ",1
6001450601,"Pleasanton, CA",1
6085509901,"Blossom Valley, Mountain View, CA",1
4021001703,"Maricopa, AZ",1
48355005414,"South Side, Corpus Christi, TX",1
6085507002,"Los Gatos, CA",1
48201340301,"Clear Lake, Houston, TX",1
17197980100,"Lockport, IL",1
12071050207,"Fort Myers, FL",1
41051006001,"Homestead, Portland, OR",1
37179021006,"Waxhaw, NC",1
49043964401,"Park City, UT",1
37053110101,"Corolla, NC",1
36109000400,"Ithaca, NY",1
42017105208,"Newtown, PA",1
34031371503,,1
31055007449,"West Omaha, Omaha, NE",1
51013101601,"North Highland, Arlington, VA",1
24031705400,"Chevy Chase, MD",1
25025120103,"Jamaica Hills / Pond, Boston, MA",1
42003070300,"Shadyside, Pittsburgh, PA",1
42029301800,"Chester Springs, PA",1
13089022401,"Atlanta, GA",1
55133203405,"Merton Terraces, Hartland, WI",1
42101038600,"Chestnut Hill, Philadelphia, PA",1
8001008548,"Thornton, CO",1
15003008931,"Mililani Mauka - Launani Valley, Wahiawa, HI",1
51153901415,"Bristow, VA",1
36047080800,"Kings County, NY",1
51510200404,"Landmark, Alexandria, VA",1
31055007314,"Bennington, NE",1
12011042400,"East Fort Lauderdale, Fort Lauderdale, FL",1
48121021524,"Heritage Lakes, Frisco, TX",1
8035014013,"Castle Rock, CO",1
26125166700,"Farmington Hills, MI",1
48491020203,"Sun City, Georgetown, TX",1
34027043302,"Morristown, NJ",1
39043040600,"Cedar Point, Sandusky, OH",1
20173010108,"Wichita, KS",1
37183053717,"Umstead, Raleigh, NC",1
72069180302,"Humacao, PR",1
8117000402,"Breckenridge, CO",1
51153901511,"Haymarket, VA",1
8037000200,"Gypsum, CO",1
48029191810,"Summerglen, San Antonio, TX",1
56039967701,"Jackson, WY",1
4013061021,"Dysart Ranch, Litchfield Park, AZ",1
51059415600,"Alexandria, VA",1
10005051201,"Ocean View, DE",1
39049006236,"The Woods of Dublin, Dublin, OH",1
31055007513,"Elkhorn, Omaha, NE",1
25017317201,"Chelmsford, MA",1
9009348125,"Heritage Village, Southbury, CT",1
30101000100,"Sweet Grass, MT",1
39061027300,"Terrace Park, OH",1
39153530700,"Silver Lake, OH",0.9986
6079011504,"San Luis Obispo, CA",0.998
29095018200,"Lee's Summit, MO",0.9977
32003005358,"Paradise Hills, Henderson, NV",0.9973
12099004902,"Lake Worth, FL",0.9971
32031003305,"Incline Village, NV",0.9967
17031071100,"Lincoln Park, Chicago, IL",0.9967
4021001711,"Maricopa, AZ",0.9965
8107000700,"Steamboat Springs, CO",0.9959
25017338300,"Winchester, MA",0.9958
17031800100,"Glencoe, IL",0.9925
48121021719,"Lewisville, TX",0.9922
36061014700,"Lincoln Square, New York, NY",0.9922
27003050821,"Blaine, MN",0.992
55025010100,"Madison, WI",0.9908
51700050305,,0.9903
48201251503,"Kingwood, Houston, TX",0.9898
27019090401,"Chaska, MN",0.9898
31055006804,"South Central Omaha, Omaha, NE",0.9883
48121021724,"Flower Mound, TX",0.986
12099007834,"Palm Beach Gardens, FL",0.985
42103950302,"Paupack, PA",0.984
17031804102,"Palatine, IL",0.9832
9003497200,"West Hartford, CT",0.9832
48201555301,"Northampton Estates, Spring, TX",0.9829
48453001761,"Austin, TX",0.9811
4013105103,"Paradise Valley Village, Paradise Valley, AZ",0.981
25017386100,"Sherborn, MA",0.9808
48121021526,"Shaddock Creek Estates, Frisco, TX",0.9808
34013020901,"Essex Fells, NJ",0.9799
17097863604,"Libertyville, IL",0.9794
4013040516,"Festival Ranch, Buckeye, AZ",0.9788
9009165300,"Hamden, CT",0.9783
42003310300,"New Homestead, Munhall, PA",0.978
24003730601,"Millersville, MD",0.9771
17043846521,"Naperville, IL",0.9771
25019950307,"Eel Point, Nantucket, MA",0.9767
55139000700,"Oshkosh, WI",0.976
31055007471,"Omaha, NE",0.9747
37183053004,"Lochmere, Cary, NC",0.9746
27053010700,"Southwest Minneapolis, Minneapolis, MN",0.9733
10003001300,"Highlands, Wilmington, DE",0.9727
42003446000,"Edgeworth, PA",0.9712
48085030407,"Starwood - Chamberlyne Place Village, Frisco, TX",0.9709
8049000202,"Tabernash, CO",0.9708
26125190700,"Oakland charter Township, MI",0.9705
17031819900,"Western Springs, IL",0.9692
34007607504,"Voorhees Township, NJ",0.969
8123002011,"Erie, CO",0.9686
48029191812,"Far North Central, San Antonio, TX",0.9685
6085510500,"North Los Altos, Los Altos, CA",0.967
6037920026,"Santa Clarita, CA",0.9656
8069002401,"Red Feather Lakes, CO",0.9655
9001245600,"Ridgefield, CT",0.9647
51107611805,"Chantilly, VA",0.9643
31153010701,"Gretna, NE",0.9642
34013020100,"Essex County, NJ",0.964
6081611500,"Lindenwood, Atherton, CA",0.9637
19061001204,"Dubuque, IA",0.9637
48085030522,"McKinney, TX",0.9625
34035053801,"Millstone, NJ",0.9623
48113007605,"Northwest Dallas, Dallas, TX",0.9623
6075017101,"Ashbury Heights, San Francisco, CA",0.9623
6111005700,"Camarillo, CA",0.962
8123002012,"Frederick, CO",0.9618
6071011102,"Green Valley Lake, CA",0.9615
9001060500,"Southport, Fairfield, CT",0.961
22071013302,"Gentilly, New Orleans, LA",0.9608
6075012602,"Marina District, San Francisco, CA",0.9595
17031062300,"Lake View, Chicago, IL",0.9579
36093032502,"Schenectady, NY",0.9572
17097863603,"Libertyville, IL",0.9568
1089001902,"Huntsville, AL",0.9566
37183053805,"Swans Mill, Raleigh, NC",0.9563
22033002802,"Highlands/Perkins, Baton Rouge, LA",0.9551
17031411100,"Hyde Park, Chicago, IL",0.9548
39113040305,"Montgomery County, OH",0.9548
12021011001,"City of Marco, Marco Island, FL",0.9547
49035110103,"Salt Lake City, UT",0.9546
17043842708,"Glen Ellyn, IL",0.9538
55025001606,"Madison, WI",0.9536
36005029301,"Bronx County, NY",0.953
12057014008,"Sun City Center, FL",0.9525
45079002300,"Heathwood, Columbia, SC",0.952
8013061300,"Louisville, CO",0.9514
6085510100,"Woodland Acres - The Highlands, Los Altos, CA",0.9514
36103147100,"Bay Shore, NY",0.9503
4013116730,"Ahwatukee Foothills Village, Phoenix, AZ",0.9498
27037060823,"Apple Valley, MN",0.9483
12099005937,"Delray Beach, FL",0.9479
20091052604,"Shawnee, KS",0.9478
34027042302,"Morris Plains, NJ",0.9472
31055007460,"Omaha, NE",0.9465
34035053901,"Rocky Hill, NJ",0.9462
51013100200,"Yorktown, Arlington, VA",0.945
9003496500,"West Hartford, CT",0.9449
27089080300,"Argyle, MN",0.9448
37183053610,"Brier Creek Country Club, Raleigh, NC",0.9445
37119005908,"Steele Creek, Charlotte, NC",0.9438
18003011608,"Fort Wayne, IN",0.9437
6081613200,"Central Portola Valley, Portola Valley, CA",0.9436
17113000505,"Bloomington, IL",0.9427
34035050902,"Martinsville, Bridgewater, NJ",0.9426
36005033400,"Bronx County, NY",0.9424
27037060744,"Eagan, MN",0.9423
42029300104,"Berwyn, PA",0.9415
42043021901,"Harrisburg, PA",0.9411
34017015001,"Guttenberg, NJ",0.9406
48157673102,"Katy, TX",0.9403
25021442201,"Franklin, MA",0.9402
37031970303,"Beaufort, NC",0.9402
6061023700,"Lincoln, CA",0.94
36119009900,"Scarsdale, NY",0.94
37183052506,"Brookhaven, Raleigh, NC",0.9394
36041950100,"Long Lake, NY",0.9391
27137013500,"Gilbert, MN",0.939
42027012300,"State College, PA",0.9384
29189221626,"Wildwood, MO",0.9377
36047001100,"Kings County, NY",0.9375
9005300400,"Litchfield, CT",0.9375
12109020806,"Saint Johns, FL",0.9374
48201540901,"Hearthstone, Houston, TX",0.937
13067030340,"Marietta, GA",0.9369
12095015801,"Winter Park, FL",0.9354
46067968800,"Tripp, SD",0.9349
27129790200,"Bird Island, MN",0.9348
12071030201,"Fort Myers, FL",0.934
36067015500,"East Syracuse, NY",0.9334
45051060207,"Myrtle Beach, SC",0.9329
26163556600,"Livonia, MI",0.9322
34007603602,"Barclay-Kingston, Cherry Hill, NJ",0.932
10003013505,"Newark, DE",0.9319
36029006302,"Albright, Buffalo, NY",0.9316
51059481102,"Oak Hill, VA",0.9315
48121020111,"Country Club Ridge At The Trails, Frisco, TX",0.931
8005005622,"Columbine Valley, CO",0.9301
42019912304,"Cranberry Township, PA",0.9296
13133950301,"Greensboro, GA",0.9295
27053024005,"Minneapolis, MN",0.9293
31153010631,"Gretna, NE",0.9289
48099010201,"Gatesville, TX",0.9284
19103002300,"Lincoln, Iowa City, IA",0.9283
12095016731,"Orlando, FL",0.9282
12099007828,"West Palm Beach, FL",0.9281
51760050600,"Near West End, Richmond, VA",0.928
4013216851,"North Scottsdale, Scottsdale, AZ",0.9272
9011693700,"Waterford, CT",0.9272
17113005101,"Bloomington, IL",0.9271
42003070600,"Shadyside, Pittsburgh, PA",0.9271
8041004402,"Colorado Springs, CO",0.9266
48085030512,"Hunters Creek, Frisco, TX",0.9263
31079001300,"Doniphan, NE",0.9253
12086007801,"Miami, FL",0.9246
31091956700,"Mullen, NE",0.9246
9005250100,"Bridgewater, CT",0.9245
45015020403,"Charleston, SC",0.9245
13121011505,"Roswell, GA",0.9244
34025801100,"Middletown, NJ",0.9242
26161406000,"King, Ann Arbor, MI",0.9241
8014031400,"Broomfield, CO",0.924
51153901235,"Lake Ridge, VA",0.9238
34025801300,"Red Bank, NJ",0.9231
51153901504,"Gainesville, VA",0.9231
34007608904,"Waterford Works, Waterford, NJ",0.9222
12099005935,"Delray Beach, FL",0.9222
48113013300,"North Dallas, Dallas, TX",0.9219
18163000500,"Gum-Bayard-Chandler, Evansville, IN",0.9209
24031705902,"Bannockburn, Bethesda, MD",0.9207
6071010803,"Crestline, CA",0.9206
6113010607,"Willowcreek, Davis, CA",0.92
6013345113,"Danville, CA",0.92
31109003716,"Lincoln, NE",0.9196
6075010400,"North Beach, San Francisco, CA",0.9194
16005981800,"Pocatello, ID",0.9192
42129802103,"Murrysville, PA",0.9191
15003008410,"Ewa, Ewa Beach, HI",0.9188
41005980000,"Estacada, OR",0.9185
27139081200,"New Prague, MN",0.9185
36055012305,"Pittsford, NY",0.9183
51059480504,"Reston, VA",0.918
33003955100,"Bartlett, NH",0.9177
34001012602,"Linwood, NJ",0.9173
42003420000,"Blawnox, PA",0.917
20069962600,"Cimarron, KS",0.917
36059303400,"East Williston, NY",0.9168
37183053006,"Ivory Hills, Apex, NC",0.9168
25025010701,"Back Bay West, Boston, MA",0.9165
8035013911,"Parker, CO",0.9164
27153790800,"Grey Eagle, MN",0.9163
20091053302,"Leawood South, Leawood, KS",0.9163
20091053109,"Parkbridge, Overland Park, KS",0.9161
4013812500,"Chandler, AZ",0.9161
36119013800,"Croton-on-Hudson, NY",0.9159
17113000502,"Normal, IL",0.9157
12015010403,"Punta Gorda, FL",0.9157
56035000102,"Pinedale, WY",0.9154
9001042900,"Norwalk, CT",0.9153
42095016202,"Northampton, PA",0.9153
27077460400,"Williams, MN",0.9153
26163551700,"Grosse Pointe Woods, MI",0.9151
32003005716,"Henderson, NV",0.915
55131420402,"West Bend, WI",0.9149
42045400900,"Drexel Hill, Upper Darby, PA",0.9149
34025808702,"Manasquan, NJ",0.9147
27147960700,"Owatonna, MN",0.9146
34027043303,"Morristown, NJ",0.9146
34003061200,"Wyckoff, NJ",0.9143
27013171000,"Lake Crystal, MN",0.9137
42017103300,"Quakertown, PA",0.9132
48121020105,"Aubrey, TX",0.913
