tract,Name,Incarceration_Rate
17097863003,"Great Lakes, North Chicago, IL",0.4104
48491020203,"Sun City, Georgetown, TX",0.3864
31153010630,"Omaha, NE",0.3832
47037013602,"Nashville, TN",0.3583
8093000300,"Fairplay, CO",0.3302
48309000300,"Waco, TX",0.3065
37183053601,"Weycroft, Cary, NC",0.2871
42027012100,"University Park, State College, PA",0.273
8019014800,"Idaho Springs, CO",0.257
37119006212,"Huntersville, NC",0.255
25025040100,"Charlestown, Boston, MA",0.2544
39049010100,"Easton, Columbus, OH",0.2526
51800075202,"Suffolk, VA",0.2455
29165030210,"Coves North, Kansas City, MO",0.2391
16013960300,"Ketchum, ID",0.2389
42003140100,"Squirrel Hill North, Pittsburgh, PA",0.2371
36119014903,"Westchester County, NY",0.2354
25025010600,"Prudential / St. Botolph, Boston, MA",0.228
4013105103,"Paradise Valley Village, Paradise Valley, AZ",0.2265
32003002303,"Las Vegas, NV",0.2218
48113019038,"Richardson, TX",0.2201
32003005612,"Overton, Moapa Valley, NV",0.2161
18157010700,"Lafayette, IN",0.2153
4013941200,"Fort McDowell, AZ",0.2147
4021001408,"Casa Grande, AZ",0.2102
13121001600,"Inman Park, Atlanta, GA",0.2071
36063940001,"Sanborn, NY",0.2064
34013020000,"Essex County, NJ",0.2062
51107611015,"Ashburn, VA",0.2045
48085030302,"Prosper, TX",0.2028
48141010319,"El Paso, TX",0.202
48085030517,"McKinney, TX",0.2002
36109000200,"Collegetown, Ithaca, NY",0.1998
15003003200,"Makiki - Lower Punchbowl - Tantalus, Honolulu, HI",0.198
32005001600,"Glenbrook, NV",0.1977
21067003914,"Gleneagles, Lexington, KY",0.1975
51153901504,"Gainesville, VA",0.197
17031808702,"Evanston, IL",0.1942
4013723307,"Estrella Mountain Ranch, Goodyear, AZ",0.1917
6111003012,"South Bank, Oxnard, CA",0.1911
36067004301,"Eastside, Syracuse, NY",0.1908
8001008551,"Thornton, CO",0.1907
6037571600,"Carmelitos, Long Beach, CA",0.1904
48185180400,"Washington, TX",0.1902
36037940100,"Basom, NY",0.1889
12115000802,"Longboat Key, FL",0.1876
2060000100,"Naknek, AK",0.1854
8037000701,"Vail, CO",0.1835
6065043814,"Calimesa, CA",0.1833
4013060802,"Thompson Ranch, El Mirage, AZ",0.1823
1101005504,"Pike Road, AL",0.1823
12103027703,"Indian Shores, FL",0.1815
4019940800,"Sells, AZ",0.1805
55015020308,"Menasha, WI",0.18
35006945800,"Ramah, NM",0.1796
6081613200,"Central Portola Valley, Portola Valley, CA",0.1795
4019940600,"Sells, AZ",0.1781
12027010405,"Arcadia, FL",0.1774
26163522000,"Core City, Detroit, MI",0.1754
8123002018,"Frederick, CO",0.1735
55078940101,"Keshena, WI",0.1734
39103408002,"Medina, OH",0.1726
48235950100,"Mertzon, TX",0.1708
45043920505,"Pawleys Island, SC",0.1696
12057005101,"Downtown, Tampa, FL",0.1682
13051001200,"Kayton/Frazier Area, Savannah, GA",0.1671
8031012001,"Southwest, Denver, CO",0.1659
42043020400,"Midtown, Harrisburg, PA",0.1643
51760040800,"Museum District, Richmond, VA",0.1636
47037016000,"South Nashville, Nashville, TN",0.1625
12005000600,"Mexico Beach Business Center, Mexico Beach, FL",0.162
24003730800,"Arnold, MD",0.1616
13121001400,"Virginia Highland, Atlanta, GA",0.1615
12086014000,"Miami, FL",0.1611
12115002305,"Venice, FL",0.1596
13121009000,"Buckhead, Atlanta, GA",0.1586
9003501400,"Upper Albany, Hartford, CT",0.1571
12099005935,"Delray Beach, FL",0.1571
55079008500,"Lindsay Heights, Milwaukee, WI",0.1566
6037575500,"Lower Westside, Long Beach, CA",0.1558
4021000210,"Skyline Ranch, Queen Creek, AZ",0.1551
54011000600,"Huntington, WV",0.1543
1117030502,"Calera, AL",0.1542
19153011203,"Clive, IA",0.1523
51760030200,"Downtown, Richmond, VA",0.1519
26021000900,"Saint Joseph, MI",0.1519
1123962600,"Camp Hill, AL",0.1516
51540000600,"Jefferson Park Avenue, Charlottesville, VA",0.1516
4019000100,"Downtown, Tucson, AZ",0.1515
40109105800,"Central Oklahoma City, Oklahoma City, OK",0.151
51680001400,"Liberty University, Lynchburg, VA",0.1508
24017850706,"Waldorf, MD",0.1502
13051011200,"Historic District - South, Savannah, GA",0.15
32005001800,"Glenbrook, NV",0.1494
21067004005,"Lexington, KY",0.1483
32031003305,"Incline Village, NV",0.148
13121003100,"Reynoldstown, Atlanta, GA",0.1465
8035014013,"Castle Rock, CO",0.1463
36001001100,"Downtown, Albany, NY",0.146
24033807200,"College Park, MD",0.1459
29095015800,"Crossroads, Kansas City, MO",0.1458
40109104000,"Central Oklahoma City, Oklahoma City, OK",0.1454
42043020600,"Midtown, Harrisburg, PA",0.1437
12027010302,"Arcadia, FL",0.1436
32031003515,"Sparks, NV",0.143
42043020300,"Midtown, Harrisburg, PA",0.1427
12099005934,"Villages of Oriole, Delray Beach, FL",0.1425
42119980501,"Lewisburg, PA",0.1424
4013082017,"Maryvale Village, Phoenix, AZ",0.1421
36061011700,"Hell's Kitchen, New York, NY",0.1418
29095001100,"Quality Hill, Kansas City, MO",0.1417
39099802100,"Warren, Youngstown, OH",0.1403
55025001101,"Madison, WI",0.1403
12071001912,"Fort Myers, FL",0.139
51177020408,"Spotsylvania Courthouse, VA",0.139
6049000400,"Cedarville, CA",0.1388
47157011300,"North Memphis, Memphis, TN",0.1387
4021002103,"Eloy, AZ",0.1384
20055960503,"Garden City, KS",0.138
18141002100,"Northwest South Bend, South Bend, IN",0.1374
1089000201,"Huntsville, AL",0.1374
8113968102,"Mountain Village, CO",0.1362
4021002400,"Mammoth, AZ",0.1362
42003459202,"Pittsburgh, PA",0.1356
48443950100,"Sanderson, TX",0.1351
24005408602,"Lutherville-Timonium, MD",0.1346
8123002011,"Erie, CO",0.1341
12099007010,"Boca Raton, FL",0.1336
21111010307,"Louisville, KY",0.1335
32031003307,"Incline Village, NV",0.1335
17031290900,"Lawndale, Chicago, IL",0.1335
13051001100,"Eastside, Savannah, GA",0.1333
4027010910,"Foothills, Yuma, AZ",0.1331
39035119202,"University Circle, Cleveland, OH",0.1327
51107610602,"Leesburg, VA",0.1325
48201543001,"Cypress, TX",0.1319
12009071301,"Rogers Place, Melbourne, FL",0.1308
24510120500,"Greenmount West, Baltimore, MD",0.1305
4013615000,"Desert View Village, Phoenix, AZ",0.1302
4019004330,"Tucson Green Valley Townhouse Apartment, Green Valley, AZ",0.1302
18097322600,"Indianapolis, IN",0.1301
24021750300,"Frederick, MD",0.1301
9009361401,"Downtown, New Haven, CT",0.1299
42043020800,"Uptown, Harrisburg, PA",0.1298
34001001100,"Atlantic City, NJ",0.1297
51710002500,"Lamberts Point, Norfolk, VA",0.1292
37129011100,"Jervay Place, Wilmington, NC",0.1287
48215024114,"Mission, TX",0.1283
36067004200,"Southside, Syracuse, NY",0.1282
17031612100,"South Side, Chicago, IL",0.128
6071011404,"Big Bear, CA",0.1274
9015825000,"Scotland, CT",0.1272
53011042400,"Esther Short, Vancouver, WA",0.1271
